entry	class	subclass	soundoverridesubclass	material	displayid	inventorytype	sheath	comment
"1176"	"0"	"0"	"-1"	"-1"	"6412"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"1199"	"0"	"0"	"-1"	"3"	"6014"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"1995"	"0"	"0"	"-1"	"-1"	"1496"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"3438"	"0"	"0"	"-1"	"-1"	"3026"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"4420"	"0"	"0"	"-1"	"7"	"1097"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"4423"	"0"	"0"	"-1"	"7"	"1097"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"4842"	"0"	"0"	"-1"	"0"	"6421"	"3"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"5046"	"0"	"0"	"-1"	"-1"	"6394"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"5047"	"0"	"0"	"-1"	"-1"	"6330"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"5224"	"0"	"0"	"-1"	"0"	"6000"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"5225"	"0"	"0"	"-1"	"0"	"6000"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"5378"	"0"	"0"	"-1"	"0"	"14964"	"1"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"6244"	"0"	"0"	"-1"	"0"	"10913"	"8"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"6638"	"0"	"0"	"-1"	"-1"	"6340"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"6852"	"0"	"0"	"-1"	"-1"	"13129"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"7147"	"0"	"0"	"-1"	"-1"	"13829"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"7168"	"0"	"0"	"-1"	"0"	"13849"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"7388"	"0"	"0"	"-1"	"-1"	"9134"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"9232"	"0"	"0"	"-1"	"3"	"17904"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"10419"	"0"	"0"	"-1"	"-1"	"9711"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"10448"	"0"	"0"	"-1"	"0"	"17917"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"10449"	"0"	"0"	"-1"	"0"	"17917"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"10451"	"0"	"0"	"-1"	"0"	"17917"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"10452"	"0"	"0"	"-1"	"0"	"19254"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"10453"	"0"	"0"	"-1"	"0"	"17917"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"11182"	"0"	"0"	"-1"	"0"	"20976"	"14"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"11183"	"0"	"0"	"-1"	"0"	"20976"	"14"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"12246"	"0"	"0"	"-1"	"0"	"22243"	"7"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"12385"	"0"	"0"	"-1"	"0"	"22485"	"7"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"12439"	"0"	"0"	"-1"	"0"	"22611"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"12441"	"0"	"0"	"-1"	"0"	"22612"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"13149"	"0"	"0"	"-1"	"-1"	"1103"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"13151"	"0"	"0"	"-1"	"-1"	"1317"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"13152"	"0"	"0"	"-1"	"-1"	"1134"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"13153"	"0"	"0"	"-1"	"-1"	"7139"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"13154"	"0"	"0"	"-1"	"-1"	"6672"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"13294"	"0"	"0"	"-1"	"0"	"23923"	"3"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"17350"	"0"	"0"	"-1"	"3"	"15717"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"17729"	"0"	"0"	"-1"	"0"	"29906"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"18209"	"0"	"0"	"-1"	"-1"	"26618"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"18595"	"0"	"0"	"-1"	"-1"	"7050"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"19063"	"0"	"0"	"-1"	"-1"	"21203"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"19977"	"0"	"0"	"-1"	"0"	"4181"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"20365"	"0"	"0"	"-1"	"0"	"32777"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"20386"	"0"	"0"	"-1"	"0"	"32823"	"1"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"20473"	"0"	"0"	"-1"	"-1"	"1103"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"20905"	"0"	"0"	"-1"	"-1"	"33261"	"26"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"21238"	"0"	"0"	"-1"	"-1"	"33555"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"21556"	"0"	"0"	"-1"	"-1"	"4181"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"21739"	"0"	"0"	"-1"	"-1"	"34342"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"21832"	"0"	"0"	"-1"	"0"	"34430"	"1"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"21834"	"0"	"0"	"-1"	"0"	"34431"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"21922"	"0"	"0"	"-1"	"-1"	"34488"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"21961"	"0"	"0"	"-1"	"-1"	"22651"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"21965"	"0"	"0"	"-1"	"-1"	"12310"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"21966"	"0"	"0"	"-1"	"-1"	"12310"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"21967"	"0"	"0"	"-1"	"-1"	"12310"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"21968"	"0"	"0"	"-1"	"-1"	"30690"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"21969"	"0"	"0"	"-1"	"-1"	"34490"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"21970"	"0"	"0"	"-1"	"-1"	"34490"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"21971"	"0"	"0"	"-1"	"-1"	"34490"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"21972"	"0"	"0"	"-1"	"-1"	"34490"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"21973"	"0"	"0"	"-1"	"-1"	"34490"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"21974"	"0"	"0"	"-1"	"-1"	"34490"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"21976"	"0"	"0"	"-1"	"-1"	"34490"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"21977"	"0"	"0"	"-1"	"-1"	"34490"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"21978"	"0"	"0"	"-1"	"-1"	"34490"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"22118"	"0"	"0"	"-1"	"-1"	"15589"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"22124"	"0"	"0"	"-1"	"-1"	"15589"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"22125"	"0"	"0"	"-1"	"-1"	"15589"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"22126"	"0"	"0"	"-1"	"-1"	"15589"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"22127"	"0"	"0"	"-1"	"-1"	"15589"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"22129"	"0"	"0"	"-1"	"-1"	"15589"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"22323"	"0"	"0"	"-1"	"-1"	"26733"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"23163"	"0"	"0"	"-1"	"-1"	"35583"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"23164"	"0"	"0"	"-1"	"-1"	"18114"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"23175"	"0"	"0"	"-1"	"-1"	"26732"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"23176"	"0"	"0"	"-1"	"3"	"35592"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"23209"	"0"	"0"	"-1"	"0"	"35657"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"23210"	"0"	"0"	"-1"	"-1"	"3568"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"23496"	"0"	"0"	"-1"	"-1"	"34281"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"23640"	"0"	"0"	"-1"	"0"	"32426"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"23641"	"0"	"0"	"-1"	"0"	"36405"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
